Name,AppID,protonBestReportedTier,protonConfidence,protonScore,protonTier,protonTotal,protonTrendingTier
Stella in Lewd Dream Demo,3255420,,,,,,
All Abug!,3474520,,,,,,
Tiny Gods Of The Nile,1663910,,,,,,
Wild Woods - Supporter Pack,3311820,,,,,,
Impromptu Trip,2196840,,,,,,
Crossroad,778150,,,,,,
Hentai Oni,2328290,,,,,,
SkyDribble,2462380,,,,,,
Space Thugs,3213960,,,,,,
Harlot's Diary,2895560,,,,,,
The Chosen,846610,,,,,,
Kawaii Girls,1600260,,,,,,
Planet Coaster - The Munsters® Munster Koach Construction Kit,611400,,,,,,
Test your knowledge: Cats,918180,,,,,,
My Brother Rabbit - Artbook,922581,,,,,,
Bridge Engineer,2205090,,,,,,
How To Survive 2 - Combat Knives,475130,,,,,,
Omni Edition Upgrade,884101,,,,,,
Roulette Simulator 2,1002490,,,,,,
Dark Past,1876030,,,,,,
NIGHTSTAR Demo,524210,,,,,,
The Shroomlings Playtest,2914240,,,,,,
The Cuberooms,1870610,,,,,,
Husk,553960,platinum,low,0.33,gold,8,gold
Build-a-lot Big Dreams,2116350,,,,,,
"О! 这个美丽的新 ""红色 ""世界!",1936790,,,,,,
Alia's Carnival! Flowering Sky,2425410,platinum,inadequate,0.21,pending,1,pending
Phoenix Point - Expansion Pass,1619320,,,,,,
The Tower Of TigerQiuQiu Ninja Tiger:QiuQiu,1412281,,,,,,
Bellhop,2245300,,,,,,
Multishot,2004500,,,,,,
Kikoriki: What the wind will bring,519009,,,,,,
Painkiller Hell & Damnation -  Full Metal Rocket,229250,,,,,,
Artificial Wings,2381320,,,,,,
Small Bird Forest,2242660,,,,,,
Talon's Blade,2131460,,,,,,
探灵笔记·古墓地宫系列：小红-探墓小队服饰,1082810,,,,,,
Toads of the Bayou Playtest,2432340,,,,,,
Tin Hearts (AA-Side),2675880,,,,,,
I'm Truely a Good Guy!,3461300,,,,,,
Warface: Clutch — Engineer Starter Pack,2807060,,,,,,
Fort Awesome,594120,,,,,,
Royal Romances: Fortunes and Foes Collector's Edition Demo,3256580,,,,,,
Pawn Shop Simulator: Prologue,3036140,,,,,,
Vespera_Hotel 原声带&设定图,2772840,,,,,,
Darksiders,50620,platinum,strong,0.18,bronze,69,silver
WizardChess Demo,1274220,,,,,,
Tiger Tank 59 Ⅰ Battleship MP098,1680187,,,,,,
Counter-Strike 2,730,platinum,strong,0.64,gold,1354,gold
PUBG: BATTLEGROUNDS,578080,platinum,strong,0,borked,171,borked
Monster Hunter Wilds,2246340,platinum,strong,0.47,silver,715,gold
NARAKA: BLADEPOINT,1203220,platinum,strong,0.55,gold,68,platinum
Split Fiction,2001120,platinum,good,0.8,platinum,24,platinum
Apex Legends™,1172470,platinum,strong,0.61,gold,1542,silver
Grand Theft Auto V Enhanced,3240220,platinum,strong,0.54,gold,159,gold
Wallpaper Engine,431960,platinum,strong,0.2,bronze,98,bronze
Stardew Valley,413150,platinum,strong,0.94,platinum,219,platinum
